2020-03-08 09:42:48,865 INFO     Job started for command "classify" with arguments:
2020-03-08 09:42:48,866 INFO         {
2020-03-08 09:42:48,866 INFO             "classifier": "MPG Ranch NFC Coarse Classifier 3.0",
2020-03-08 09:42:48,868 INFO             "annotation_name": "Classification",
2020-03-08 09:42:48,869 INFO             "detectors": [
2020-03-08 09:42:48,869 INFO                 "Old Bird Thrush Detector Redux 1.1"
2020-03-08 09:42:48,870 INFO             ],
2020-03-08 09:42:48,870 INFO             "station_mics": [
2020-03-08 09:42:48,872 INFO                 "MSGR / 21c"
2020-03-08 09:42:48,872 INFO             ],
2020-03-08 09:42:48,872 INFO             "start_date": "2020-01-01",
2020-03-08 09:42:48,873 INFO             "end_date": "2021-01-01"
2020-03-08 09:42:48,873 INFO         }
2020-03-08 09:42:48,886 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/TensorFlow SavedModel"...
2020-03-08 09:42:54,101 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmpdq8im54x
2020-03-08 09:42:54,106 WARNING  train mode not found in SavedModel.
2020-03-08 09:42:54,106 WARNING  eval mode not found in SavedModel.
2020-03-08 09:42:54,106 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Tseep Classifier/Settings.yaml"...
2020-03-08 09:42:54,116 INFO     Creating TensorFlow estimator from saved model in directory "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/TensorFlow SavedModel"...
2020-03-08 09:42:54,119 WARNING  Using temporary folder as model directory: /var/folders/2z/dlxt5tt50nzdlqlx1qvr1zdm0000gn/T/tmp3ixe8ziw
2020-03-08 09:42:54,122 WARNING  train mode not found in SavedModel.
2020-03-08 09:42:54,122 WARNING  eval mode not found in SavedModel.
2020-03-08 09:42:54,123 INFO     Loading classifier settings from "//anaconda3/envs/vesper-0.4.7/lib/python3.6/site-packages/vesper/mpg_ranch/nfc_coarse_classifier_3_0/Thrush Classifier/Settings.yaml"...
2020-03-08 09:42:54,137 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-01.
2020-03-08 09:42:54,138 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,140 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-02.
2020-03-08 09:42:54,141 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,143 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-03.
2020-03-08 09:42:54,144 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,146 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-04.
2020-03-08 09:42:54,147 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,149 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-05.
2020-03-08 09:42:54,150 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,151 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-06.
2020-03-08 09:42:54,153 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,154 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-07.
2020-03-08 09:42:54,156 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,158 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-08.
2020-03-08 09:42:54,159 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,160 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-09.
2020-03-08 09:42:54,161 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,163 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-10.
2020-03-08 09:42:54,165 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,168 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-11.
2020-03-08 09:42:54,169 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,171 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-12.
2020-03-08 09:42:54,173 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,174 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-13.
2020-03-08 09:42:54,176 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,177 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-14.
2020-03-08 09:42:54,179 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,180 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-15.
2020-03-08 09:42:54,181 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,183 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-16.
2020-03-08 09:42:54,184 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,185 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-17.
2020-03-08 09:42:54,186 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,188 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-18.
2020-03-08 09:42:54,191 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
2020-03-08 09:42:54,193 INFO     Classifier will visit 0 clips for detector "Old Bird Thrush Detector Redux 1.1", station "MSGR", mic output "21c Output", and date 2020-01-19.
2020-03-08 09:42:54,194 INFO     Classified 0 of 0 visited clips in 0.0 seconds.
